state,year,month,dn,count,avg_brightness,median_frp,max_day_count,max_day_date,pct_night
California,2010,6,A,172,337.50058139534883,42.45,,,0.05232558139534884
California,2010,7,A,349,349.80458452722064,81.6,,,0.3209169054441261
California,2010,8,A,247,331.8805668016194,29.6,,,0.3684210526315789
California,2010,9,A,339,333.7218289085546,37.0,,,0.3215339233038348
California,2010,10,A,247,326.60283400809715,23.7,,,0.012145748987854251
California,2010,11,A,204,319.32450980392156,21.049999999999997,,,0.05392156862745098
California,2010,12,A,21,314.2333333333333,13.5,,,0.0
California,2011,1,A,67,322.5626865671642,36.6,,,0.014925373134328358
California,2011,2,A,168,323.24642857142857,19.25,,,0.041666666666666664
California,2011,3,A,77,330.16363636363633,34.8,,,0.15584415584415584
California,2011,4,A,189,324.63544973544975,20.3,,,0.005291005291005291
California,2011,5,A,106,328.9603773584906,22.450000000000003,,,0.07547169811320754
California,2011,6,A,127,339.8322834645669,44.7,,,0.13385826771653545
California,2011,7,A,423,340.6851063829787,48.1,,,0.3262411347517731
California,2011,8,A,210,338.7171428571429,44.349999999999994,,,0.28095238095238095
California,2011,9,A,262,337.380534351145,46.95,,,0.3244274809160305
California,2011,10,A,377,323.5503978779841,22.8,,,0.0636604774535809
California,2011,11,A,336,321.97738095238094,25.549999999999997,,,0.03273809523809524
California,2011,12,A,84,316.7809523809524,19.1,,,0.05952380952380952
California,2012,1,A,179,321.131843575419,24.3,,,0.027932960893854747
California,2012,2,A,165,319.1848484848485,17.4,,,0.012121212121212121
California,2012,3,A,127,320.5929133858268,16.9,,,0.015748031496062992
California,2012,4,A,76,327.6355263157895,18.55,,,0.02631578947368421
California,2012,5,A,90,331.77777777777777,28.6,,,0.08888888888888889
California,2012,6,A,196,340.4836734693878,53.9,,,0.1377551020408163
California,2012,7,A,558,343.8310035842294,58.150000000000006,,,0.4050179211469534
California,2012,8,A,4304,343.066937732342,56.95,,,0.48652416356877326
California,2012,9,A,606,336.02640264026405,49.6,,,0.3844884488448845
California,2012,10,A,182,324.7840659340659,21.65,,,0.03296703296703297
California,2012,11,A,205,322.65073170731705,24.1,,,0.08780487804878048
California,2012,12,A,34,315.30294117647054,16.5,,,0.0
California,2013,1,A,66,322.0954545454545,14.65,,,0.015151515151515152
California,2013,2,A,255,320.0996078431372,17.0,,,0.0
California,2013,3,A,160,320.273125,17.25,,,0.01875
California,2013,4,A,136,326.9875,21.15,,,0.022058823529411766
California,2013,5,A,309,355.9540453074434,96.2,,,0.27184466019417475
California,2013,6,A,328,348.4649390243902,64.85,,,0.45426829268292684
California,2013,7,A,553,352.19891500904157,81.7,,,0.41229656419529837
California,2013,8,A,3990,347.04571428571427,65.3,,,0.4468671679197995
California,2013,9,A,899,339.0870967741935,41.3,,,0.40378197997775306
California,2013,10,A,364,328.01565934065934,28.55,,,0.024725274725274724
California,2013,11,A,336,323.82380952380953,24.6,,,0.03273809523809524
California,2013,12,A,182,319.510989010989,18.2,,,0.07142857142857142
California,2014,1,A,248,322.7983870967742,20.25,,,0.10483870967741936
California,2014,2,A,250,318.0088,18.25,,,0.02
California,2014,3,A,204,323.9230392156863,19.5,,,0.00980392156862745
California,2014,4,A,141,333.1957446808511,27.9,,,0.0
California,2014,5,A,195,353.4051282051282,75.5,,,0.22564102564102564
California,2014,6,A,129,337.4496124031008,43.2,,,0.4108527131782946
California,2014,7,A,479,348.57933194154487,75.4,,,0.4196242171189979
